 ,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
115,39.625,66.0,22,64,0.017083,0.037000000000000005,10,31,6.466667,13.0,23,6.410917816436712,1.708333,3.1,23,35.0
116,35.208333,57.0,20,54,0.01675,0.035,10,30,2.45,10.0,23,14.0,1.2375,4.1,23,11.680663867226555
117,35.208333,57.0,20,54,0.01675,0.035,10,30,2.45,10.0,23,14.0,1.491667,3.8,1,43.0
118,35.208333,57.0,20,54,0.01675,0.035,10,30,2.683333,6.3,2,6.410917816436712,1.2375,4.1,23,11.680663867226555
119,35.208333,57.0,20,54,0.01675,0.035,10,30,2.683333,6.3,2,6.410917816436712,1.491667,3.8,1,43.0
120,37.913043,53.0,0,50,0.012958,0.03,10,25,3.315789,9.0,22,13.0,1.490909,3.3,22,11.680663867226555
121,37.913043,53.0,0,50,0.012958,0.03,10,25,3.315789,9.0,22,13.0,1.445833,2.4,2,27.0
122,37.913043,53.0,0,50,0.012958,0.03,10,25,4.04,7.6,23,6.410917816436712,1.490909,3.3,22,11.680663867226555
123,37.913043,53.0,0,50,0.012958,0.03,10,25,4.04,7.6,23,6.410917816436712,1.445833,2.4,2,27.0
124,34.583333,55.0,8,52,0.018833000000000003,0.039,9,33,4.047619,15.0,8,21.0,1.3375,3.8,8,11.680663867226555
125,34.583333,55.0,8,52,0.018833000000000003,0.039,9,33,4.047619,15.0,8,21.0,1.608333,2.6,3,30.0
126,34.583333,55.0,8,52,0.018833000000000003,0.039,9,33,5.16,10.3,8,6.410917816436712,1.3375,3.8,8,11.680663867226555
127,34.583333,55.0,8,52,0.018833000000000003,0.039,9,33,5.16,10.3,8,6.410917816436712,1.608333,2.6,3,30.0
128,41.043478,64.0,8,62,0.016333,0.036000000000000004,10,31,5.73913,20.0,8,29.0,1.413043,5.1,8,11.680663867226555
129,41.043478,64.0,8,62,0.016333,0.036000000000000004,10,31,5.73913,20.0,8,29.0,1.304167,2.5,9,28.0
130,41.043478,64.0,8,62,0.016333,0.036000000000000004,10,31,6.157143,18.0,8,6.410917816436712,1.413043,5.1,8,11.680663867226555
131,41.043478,64.0,8,62,0.016333,0.036000000000000004,10,31,6.157143,18.0,8,6.410917816436712,1.304167,2.5,9,28.0
132,45.833333,71.0,23,69,0.015792,0.032,10,27,5.7916669999999995,18.0,21,26.0,1.6416669999999998,5.1,23,11.680663867226555
133,45.833333,71.0,23,69,0.015792,0.032,10,27,5.7916669999999995,18.0,21,26.0,1.233333,3.2,23,36.0
134,45.833333,71.0,23,69,0.015792,0.032,10,27,5.775,18.0,23,6.410917816436712,1.6416669999999998,5.1,23,11.680663867226555
135,45.833333,71.0,23,69,0.015792,0.032,10,27,5.775,18.0,23,6.410917816436712,1.233333,3.2,23,36.0
136,53.333332999999996,92.0,23,91,0.012292,0.022000000000000002,10,19,8.166667,28.0,23,40.0,2.316667,8.0,23,11.680663867226555
137,53.333332999999996,92.0,23,91,0.012292,0.022000000000000002,10,19,8.166667,28.0,23,40.0,2.1125,4.2,23,48.0
138,53.333332999999996,92.0,23,91,0.012292,0.022000000000000002,10,19,8.1375,24.3,23,6.410917816436712,2.316667,8.0,23,11.680663867226555
139,53.333332999999996,92.0,23,91,0.012292,0.022000000000000002,10,19,8.1375,24.3,23,6.410917816436712,2.1125,4.2,23,48.0
140,42.458333,67.0,0,65,0.017583,0.039,10,33,4.3333330000000005,16.0,0,23.0,1.591667,5.4,0,11.680663867226555
141,42.458333,67.0,0,65,0.017583,0.039,10,33,4.3333330000000005,16.0,0,23.0,1.9625,5.0,1,56.0
142,42.458333,67.0,0,65,0.017583,0.039,10,33,4.3125,12.0,23,6.410917816436712,1.591667,5.4,0,11.680663867226555
143,42.458333,67.0,0,65,0.017583,0.039,10,33,4.3125,12.0,23,6.410917816436712,1.9625,5.0,1,56.0
144,37.875,64.0,0,62,0.019208000000000003,0.043,10,36,4.555556,12.0,1,17.0,1.6583330000000003,4.2,0,11.680663867226555
145,37.875,64.0,0,62,0.019208000000000003,0.043,10,36,4.555556,12.0,1,17.0,1.8,3.6,2,41.0
146,37.875,64.0,0,62,0.019208000000000003,0.043,10,36,5.7,10.6,2,6.410917816436712,1.6583330000000003,4.2,0,11.680663867226555
147,37.875,64.0,0,62,0.019208000000000003,0.043,10,36,5.7,10.6,2,6.410917816436712,1.8,3.6,2,41.0
148,50.208333,74.0,9,72,0.015792,0.033,10,28,8.55,19.0,23,27.0,2.3416669999999997,5.3,20,11.680663867226555
149,50.208333,74.0,9,72,0.015792,0.033,10,28,8.55,19.0,23,27.0,2.1,3.2,23,36.0
150,50.208333,74.0,9,72,0.015792,0.033,10,28,9.416667,15.3,23,6.410917816436712,2.3416669999999997,5.3,20,11.680663867226555
151,50.208333,74.0,9,72,0.015792,0.033,10,28,9.416667,15.3,23,6.410917816436712,2.1,3.2,23,36.0
152,57.833332999999996,89.0,9,88,0.01025,0.019,9,16,7.217391,24.0,9,34.0,2.0291669999999997,4.6,8,11.680663867226555
153,57.833332999999996,89.0,9,88,0.01025,0.019,9,16,7.217391,24.0,9,34.0,2.35,4.2,2,48.0
154,57.833332999999996,89.0,9,88,0.01025,0.019,9,16,7.671428999999999,14.3,2,6.410917816436712,2.0291669999999997,4.6,8,11.680663867226555
155,57.833332999999996,89.0,9,88,0.01025,0.019,9,16,7.671428999999999,14.3,2,6.410917816436712,2.35,4.2,2,48.0
156,41.086957,55.0,0,52,0.0125,0.027000000000000003,10,23,4.428571,10.0,5,14.0,1.33913,2.9,8,11.680663867226555
157,41.086957,55.0,0,52,0.0125,0.027000000000000003,10,23,4.428571,10.0,5,14.0,1.3875,2.0,12,23.0
158,41.086957,55.0,0,52,0.0125,0.027000000000000003,10,23,5.15,9.3,8,6.410917816436712,1.33913,2.9,8,11.680663867226555
159,41.086957,55.0,0,52,0.0125,0.027000000000000003,10,23,5.15,9.3,8,6.410917816436712,1.3875,2.0,12,23.0
160,32.909091,48.0,21,45,0.015125,0.033,10,28,2.894737,7.0,21,10.0,1.136364,2.2,0,11.680663867226555
161,32.909091,48.0,21,45,0.015125,0.033,10,28,2.894737,7.0,21,10.0,1.120833,1.7,2,19.0
162,32.909091,48.0,21,45,0.015125,0.033,10,28,2.916667,6.0,23,6.410917816436712,1.136364,2.2,0,11.680663867226555
163,32.909091,48.0,21,45,0.015125,0.033,10,28,2.916667,6.0,23,6.410917816436712,1.120833,1.7,2,19.0
164,37.208333,54.0,23,51,0.014792,0.028999999999999998,10,25,2.3,9.0,23,13.0,1.154167,3.2,23,11.680663867226555
165,37.208333,54.0,23,51,0.014792,0.028999999999999998,10,25,2.3,9.0,23,13.0,1.079167,1.6,23,18.0
166,37.208333,54.0,23,51,0.014792,0.028999999999999998,10,25,2.416667,6.0,23,6.410917816436712,1.154167,3.2,23,11.680663867226555
167,37.208333,54.0,23,51,0.014792,0.028999999999999998,10,25,2.416667,6.0,23,6.410917816436712,1.079167,1.6,23,18.0
168,23.208333,48.0,0,45,0.023542,0.04,13,34,1.133333,6.0,0,9.0,0.625,2.6,0,11.680663867226555
169,23.208333,48.0,0,45,0.023542,0.04,13,34,1.133333,6.0,0,9.0,0.879167,2.0,1,23.0
170,23.208333,48.0,0,45,0.023542,0.04,13,34,1.375,3.3,2,6.410917816436712,0.625,2.6,0,11.680663867226555
171,23.208333,48.0,0,45,0.023542,0.04,13,34,1.375,3.3,2,6.410917816436712,0.879167,2.0,1,23.0
172,26.708333000000003,43.0,21,41,0.019417,0.040999999999999995,10,35,1.0,3.0,21,4.0,0.795833,1.9,21,11.680663867226555
173,26.708333000000003,43.0,21,41,0.019417,0.040999999999999995,10,35,1.0,3.0,21,4.0,0.645833,1.0,8,11.0
174,26.708333000000003,43.0,21,41,0.019417,0.040999999999999995,10,35,1.025,2.6,23,6.410917816436712,0.795833,1.9,21,11.680663867226555
175,26.708333000000003,43.0,21,41,0.019417,0.040999999999999995,10,35,1.025,2.6,23,6.410917816436712,0.645833,1.0,8,11.0
176,33.782609,51.0,22,48,0.014208000000000002,0.031,10,26,2.65,13.0,23,19.0,1.204348,4.4,23,11.680663867226555
177,33.782609,51.0,22,48,0.014208000000000002,0.031,10,26,2.65,13.0,23,19.0,0.995833,1.9,23,22.0
178,33.782609,51.0,22,48,0.014208000000000002,0.031,10,26,2.8666669999999996,9.3,23,6.410917816436712,1.204348,4.4,23,11.680663867226555
179,33.782609,51.0,22,48,0.014208000000000002,0.031,10,26,2.8666669999999996,9.3,23,6.410917816436712,0.995833,1.9,23,22.0
180,40.625,69.0,21,67,0.013166999999999998,0.028999999999999998,10,25,5.5,22.0,21,31.0,1.8041669999999999,5.4,21,11.680663867226555
181,40.625,69.0,21,67,0.013166999999999998,0.028999999999999998,10,25,5.5,22.0,21,31.0,1.6541669999999997,2.9,23,33.0
182,40.625,69.0,21,67,0.013166999999999998,0.028999999999999998,10,25,5.475,16.6,23,6.410917816436712,1.8041669999999999,5.4,21,11.680663867226555
183,40.625,69.0,21,67,0.013166999999999998,0.028999999999999998,10,25,5.475,16.6,23,6.410917816436712,1.6541669999999997,2.9,23,33.0
184,49.958333,74.0,14,72,0.006667,0.022000000000000002,23,19,6.3333330000000005,12.0,20,17.0,1.6625,3.5,20,11.680663867226555
185,49.958333,74.0,14,72,0.006667,0.022000000000000002,23,19,6.3333330000000005,12.0,20,17.0,1.8291669999999998,3.1,0,35.0
186,49.958333,74.0,14,72,0.006667,0.022000000000000002,23,19,6.3125,9.3,23,6.410917816436712,1.6625,3.5,20,11.680663867226555
187,49.958333,74.0,14,72,0.006667,0.022000000000000002,23,19,6.3125,9.3,23,6.410917816436712,1.8291669999999998,3.1,0,35.0
